id;client_id;terminal_id;tran_date_time;date;time;tran_amount;tran_fee;reference_number;response_status;service_name;user
1;Kentucky;Ergonomic Concrete Soap;Chips COM;2020-07-21;empowering needs-based parsing;51662;79141;Shirt Estates;invoice;implement internet solution;matrix Engineer
2;Fresh didactic;Cotton Executive;Operations;2020-07-21;connecting Strategist;8015;76616;Cambridgeshire;interface;invoice;next-generation incentivize
3;high-level Small Assistant;grey Gourde US Dollar 4th generation;Licensed Awesome;2020-07-21;Pizza JBOD;84148;89810;Northern Mariana Islands Forest;Fantastic;clear-thinking enable transmit;Bacon optical
4;olive IB;Alabama;port models Dynamic;2020-07-21;Awesome Cotton Soap;88660;75828;Corporate JSON;Montana models South Carolina;Networked Tools Svalbard & Jan Mayen Islands;metrics Architect even-keeled
5;Savings Account Denar intangible;SCSI Lek;Danish Krone Producer deposit;2020-07-21;Facilitator Sleek Cotton Salad;92075;68142;calculate Intelligent Concrete Chair Global;Towels;sky blue;CFA Franc BEAC ADP
6;Chair;mint green card;magnetic Industrial;2020-07-21;Borders;34240;41423;Forward;Pitcairn Islands;Pound Sterling New Mexico copy;Berkshire Pants program
7;solid state;USB Delaware;Assistant Functionality;2020-07-21;Rubber Tuna;84219;19483;Malagasy Ariary Gloves;Morocco B2C Consultant;value-added AI Peso Uruguayo Uruguay Peso en Unidades Indexadas;parse initiatives Concrete
8;Health Division;Global;neural end-to-end;2020-07-21;Montana Israel Solutions;62902;92580;back-end;monitoring override mobile;Mississippi Delaware;Wooden
9;back-end Rustic enable;copy empowering Diverse;Uruguay Oregon Home;2020-07-22;Sleek;5618;79504;Assurance COM Handmade Metal Bacon;feed Central 1080p;Fantastic Tokelau;Berkshire Operations Unbranded Metal Pants
10;Georgia;Mobility maximize;Computers Organic;2020-07-21;responsive Money Market Account Expanded;9630;31333;Oregon;AGP;Shore;B2C
