id;terminal_id;merchant_id;merchant_name;market_name;phone_no;s_im_serial_no;p_os_serial_no;location;user
1;Assurance grey;bypass optical RSS;Generic bandwidth Views;collaboration Hong Kong Dollar Credit Card Account;Executive Lao People's Democratic Republic lavender;intuitive Global synthesizing;backing up orange;Director Mouse Hong Kong;International
2;Rustic;Consultant EXE Junction;moratorium salmon;Director bus;Berkshire Soft;Ergonomic Frozen Sausages;Cambridgeshire;invoice wireless;Movies bandwidth infrastructure
3;Montserrat users project;deposit;wireless maroon Pines;Incredible;expedite;Accounts;extensible navigating solution;Manor ROI Tunisia;bi-directional Computers
4;digital;copy Ohio;Internal;EXE Idaho;Dynamic;parsing deposit;Metal;Island withdrawal;Antarctica (the territory South of 60 deg S) French Southern Territories optimize
5;harness;AI Burundi Franc Rupiah;Gorgeous Soft Shoes Ergonomic Cotton Chicken Optional;content-based Trace;object-oriented granular;bus bypass FTP;communities Generic Plastic Fish Fantastic Frozen Chair;Plastic payment Rubber;bandwidth solutions
6;connecting structure executive;Awesome deposit proactive;Michigan;Assistant;withdrawal distributed Guinea;ubiquitous;Bedfordshire methodical programming;Associate Ergonomic Wooden Hat;e-tailers Chicken repurpose
7;Iraq non-volatile;THX Savings Account Health;optical e-markets overriding;sexy Plains Refined Soft Bacon;Strategist Practical Frozen Table navigate;Shoes quantifying;Right-sized;parse Granite;generate Borders
8;Integration invoice Bedfordshire;Designer;knowledge user;Jewelery;Associate capacitor;Officer Roads;Sausages installation North Dakota;Malta Technician;Beauty
9;networks Mouse Fresh;Auto Loan Account instruction set Berkshire;mission-critical port;Awesome Fresh Ball connecting Industrial;Personal Loan Account optical benchmark;European Monetary Unit (E.M.U.-6) Small Wooden Car payment;approach Security;Money Market Account Ball;backing up
10;Cambridgeshire Lebanon;withdrawal USB;Auto Loan Account Fresh;Credit Card Account Credit Card Account;Legacy viral;Awesome Avon;AI Concrete;Universal;Table evolve
